identifier,creator,title,date,downloads,venue
2016-08-12JGrizz210TavernRanchoCucamongaCa,JGrizz/Various,J.Grizz Band Live at 210 Tavern Rancho Cucamonga Ca 8-12-16,2016-08-12T00:00:00Z,445,Unknown
2016-09-02JGrizzOldStumpNorthPomonaCa,JGrizz/Various,J.Grizz Band Old Stump Brewery North Pomona 9-2-16,2016-09-02T00:00:00Z,148,Unknown
2016-09-10JGrizzCasaRancheroLaderaRanchCa,JGrizz/Various,J.Grizz Band Live at Casa Ranchero Ladera Ranch 9/10/16,2016-09-10T00:00:00Z,169,Unknown
2016-11-04JGrizzOldStumpBreweryNorthPomonaCa,JGrizz/Various,J.Grizz Band Live at Old Stump Brewery North Pomona Ca 11/4/16,2016-11-04T00:00:00Z,216,Unknown
2016-11-12JGrizzBlackwatchUplandCa,JGrizz/Various,J.Grizz Band Live at he The Black Watch Pub Upland Ca 11/12/16,2016-11-12T00:00:00Z,233,Unknown
2016-12-02JGrizzOldStumpBreweryPomonaCa,JGrizz/Various,J.Grizz Band Live at Old Stump Brewery North Pomona Ca 12/2/16,2016-12-02T00:00:00Z,272,Unknown
2016-12-17JGrizzTheHostClaremontCa,JGrizz/Various,J.Grizz Band live at The Host Claremont 12/17/16,2016-12-17T00:00:00Z,188,Unknown
2016-12-30JGrizz210TavernRachoCucamongaCa,JGrizz/Various,J.Grizz Band Live at 210 Tavern December 30th 2016,2016-12-30T00:00:00Z,258,Unknown
20160129gcdbh,GrooveChild,GrooveChild Live at Dover Brickhouse on 2016-01-29,2016-01-29T00:00:00Z,705,Dover Brickhouse
2017-01-21JGrizzOldStumpNorthPomonaCa,JGrizz/Various,J.Grizz Band Live at Old Stump Brewery North Pomona 1/21/2017,2017-01-21T00:00:00Z,218,Unknown
2017-01-28JGrizzCasaRancheroLaderaRanchCa,JGrizz/Various,J.Grizz Band Live at Casa Ranchero Ladera Ranch 1/28/17,2017-01-28T00:00:00Z,226,Unknown
2017-02-25JGrizzBlackwatchPubUplandCa,JGrizz/Various,J.Grizz Band Live at the Black Watch Pub Upland Ca 2/25/2017,2017-02-25T00:00:00Z,265,Unknown
2017-03-19JGrizz210TavernRanchoCucamongaCa,JGrizz/Various,J.Grizz Band live at 210 Tavern Rancho Cucamonga 3/19/17,2017-03-19T00:00:00Z,189,Unknown
2017-03-25JGrizzTheHostClaremontCa,JGrizz/Various,J.Grizz Band Live at The Host Fusion Grill Claremont Ca 3/25/17,2017-03-25T00:00:00Z,248,Unknown
2017-04-01JGrizzTreehouseBarBreaCa,JGrizz/Various,J.Grizz Band live at Treehouse Bar & Grill Brea Ca 4/1/17,2017-04-01T00:00:00Z,129,Unknown
2017-04-07JGrizzGraziesUplandCa,JGrizz/Various,J.Grizz Band Live at Grazie's Upland Ca 4/7/17,2017-04-07T00:00:00Z,323,Unknown
2017-04-29JGrizzWineWalkLaVerneCa,JGrizz/Various,J.Grizz Band Live at the 2017 Sip of La Verne Wine Walk 4/29/17,2017-04-29T00:00:00Z,225,Unknown
2017-05-05JGrizzFridayNightsLiveClaremontCa,JGrizz/Various,J.Grizz Band Live at Friday Nights Live Claremont Ca,2017-05-05T00:00:00Z,175,Unknown
2017-05-12JGrizzOldStumpNPomonaCa,JGrizz/Various,J.Grizz Band live at Old Stump Brewing Co 5/12/17,2017-05-12T00:00:00Z,139,Unknown
2017-05-13JGrizzTreehouseBarBreaCa,JGrizz/Various,J.Grizz Band Live at Treehouse Bar & Grill Brea Ca 5/13/17,2017-05-13T00:00:00Z,164,Unknown
2017-05-28JGrizz210TavernRanchoCucamongaCa,JGrizz/Various,J.Grizz Band live at 210 Tavern Rancho Cucamonga 5/28/17,2017-05-28T00:00:00Z,195,Unknown
2017-06-10JGrizzTheHostClaremontCa,JGrizz/Various,J.Grizz Band Live at The Host Claremont 6/10/17,2017-06-10T00:00:00Z,182,Unknown
2017-06-16JGrizz210TavernRanchoCucamongaCa,JGrizz/Various,J.Grizz Band Live at 210 Tavern Rancho Cucamonga ca 6/16/17,2017-06-16T00:00:00Z,226,Unknown
2017-06-24JGrizzOldStumpBrewingCoNPomonaCa,JGrizz/Various,J.Grizz Band Live at Old Stump Brewing Co North Pomona 6/24/17,2017-06-24T00:00:00Z,146,Unknown
2017-07-01JGrizzTreehouseBarBreaCa,JGrizz/Various,J.Grizz Band Live at Treehouse Bar & Grill Brea Ca 7/1/17,2017-07-01T00:00:00Z,272,Unknown
2017-07-07JGrizzSheltonParkClaremontCa,JGrizz/Various,J.Grizz Band Live at Shelton Park Claremont 7/7/17,2017-07-07T00:00:00Z,448,Unknown
2017-07-29JGrizzBlackWatchPubUplandCa,JGrizz/Various,J.Grizz Band live at Black Watch Pub Upland 7/29/17,2017-07-29T00:00:00Z,553,Unknown
2017-09-09JGrizzWineWalkClaremontCa,JGrizz/Various,J.Grizz Band Live at the Wine Walk Claremont 9/9/17,2017-09-09T00:00:00Z,382,Unknown
2017-09-15JGrizzOldStumpBrewingPomonaCa,JGrizz/Various,J.Grizz Band Live at Old Stump Brewing Co North Pomona 9/15/17,2017-09-15T00:00:00Z,308,Unknown
2017-09-22JGrizz210TavernRanchoCucamongaCa,JGrizz/Various,J.Grizz Band Live at 210 Tavern Friday September 22nd 2017,2017-09-22T00:00:00Z,401,Unknown
2017-09-23JGrizzTheHostClaremontCa,JGrizz/Various,J.Grizz Band Live at The host Claremont Saturday September 23rd 2017,2017-09-23T00:00:00Z,363,Unknown
2017-09-29JGrizzOldStumpBrewingNorthPomonaCa,JGrizz/Various,J.Grizz Band Live at Old Stump Brewing North Pomona 9/29/17,2017-09-29T00:00:00Z,371,Unknown
2017-10-06JGrizzBlackwatchUplandCa,JGrizz/Various,J.Grizz Band Live at the Blackwatch Pub 10/6/17,2017-10-06T00:00:00Z,402,Unknown
2017-10-14JGrizzTheHostClaremontCa,JGrizz/Various,J.Grizz Band Live at The Host Claremont Ca 10/14/17,2017-10-14T00:00:00Z,315,Unknown
2017-11-04JGrizz210TavernRanchoCucamongaCa,JGrizz/Various,J.Grizz Band Live at 210 Tavern Rancho Cucamonga 11-4-17,2017-11-04T00:00:00Z,392,Unknown
2017-11-11JGrizzTheHostClaremontCa,JGrizz/Various,J.Grizz Band Live at the Host Claremont 11/11/17,2017-11-11T00:00:00Z,361,Unknown
2017-11-19JGrizzMPSStudiosRanchoCucamongaCa,JGrizz/Various,J.Grizz Band Promo 2017 MPS Studios Rancho Cucamonag Ca 11/19/17,2017-11-19T00:00:00Z,376,Unknown
2017-11-25JGrizzStarsandStripesUplandCa,JGrizz/Various,J.Grizz Band Live at Charlie's Stars & Stripes Upland Ca 11/25/17,2017-11-25T00:00:00Z,258,Unknown
2017-12-02JGrizzTreehouseBarBreaCa,JGrizz/Various,J.Grizz Band live at Treehouse Bar & Grill Brea 12/2/17,2017-12-02T00:00:00Z,256,Unknown
2017-12-29JGrizzOldStumpBrewingCoPomonaCa,JGrizz/Various,J.Grizz Band Old Stump Brewing Co 12/29/17,2017-12-29T00:00:00Z,361,Unknown
2018-01-13JGrizzRoadhouseDuarteCa,JGrizz/Various,J.Grizz Band Live at Route 66 Roadhouse & Tavern Duarte 1/13/18,2018-01-13T00:00:00Z,467,Unknown
2018-01-20JGrizzOldStumpNorthPomonaCa,JGrizz/Various,J.Grizz Band live at Old Stump Brewing Co Saturday Jan 20 2018,2018-01-20T00:00:00Z,354,Unknown
2018-02-03JGrizzStarsStripesUplandCa,JGrizz/Various,"J.Grizz Band live at Charlie's Stars & Stripes Upland, Ca 2/3/18 Partial Set",2018-02-03T00:00:00Z,225,Unknown
2018-03-02JGrizzBlackwatchUplandCa,JGrizz/Various,J.Grizz Band Live at the Blackwatch Pub Upland Ca 3-2-18,2018-03-02T00:00:00Z,402,Unknown
2018-04-14JGrizzStarsandStripesUplandCa,JGrizz/Various,J.Grizz Band live at Charlies Stars & Stripes Upland Ca 4/14/18,2018-04-14T00:00:00Z,262,Unknown
2018-04-28JGrizzLaVerneWineWalk,JGrizz/Various,J.Grizz Band Live at the La Verne Wine Walk 4/28/18,2018-04-28T00:00:00Z,435,Unknown
2018-05-12JGrizz210TavernRanchoCucamongaCa,JGrizz/Various,J.Grizz Band Live at 210 Tavern 5/12/18,2018-05-12T00:00:00Z,421,Unknown
2018-05-19JGrizzRoadhouseandTavernDuarteCa,JGrizz/Various,J.Grizz Band Live at Roue 66 Roadhouse & Tavern 5/19/18,2018-05-19T00:00:00Z,547,Unknown
2018-06-01JGrizzClaremontFridayNightsCityHall,JGrizz/Various,J.Grizz Band Live at Claremont Friday Nights 6/1/18,2018-06-01T00:00:00Z,442,Unknown
2018-06-02JGrizzAnniversaryPartyClarmeontCa,JGrizz/Various,J.Grizz Band Live Anniversary Private Party Claremont Ca 6/2/18,2018-06-02T00:00:00Z,422,Unknown
2018-08-03JGrizzSheltonParkClaremontCa,JGrizz/Various,J.Grizz Band Live at Shelton Park Claremont Ca 8/3/18,2018-08-03T00:00:00Z,509,Unknown
2018-08-31JGrizzOldStumpPomonaCa,JGrizz/Various,J.Grizz Band live at Old Stump Brewing Co Pomona Ca 8-31-18,2018-08-31T00:00:00Z,477,Unknown
2018-09-08JGrizzStarsStripesUplandCa,JGrizz/Various,J.Grizz Band live at Stars & Stripes Upland Ca 9/8/18,2018-09-08T00:00:00Z,476,Unknown
2018-09-15JGrizz210TavernRanchoCucamongaCa,JGrizz/Various,J.Grizz Band live at 210 Tavern Racho Cucamonga Ca,2018-09-15T00:00:00Z,379,Unknown
2018-09-22JGrizzBlackwatchPubUplandCa,JGrizz/Various,J.Grizz Band Live at The Black Watch Pub Upland Ca 9/22/18,2018-09-22T00:00:00Z,446,Unknown
2018-09-29JGrizzLaVerneBeerWalk,JGrizz/Various,J.Grizz Band live at La Verne On Tap Beer Walk 9/29/18,2018-09-29T00:00:00Z,426,Unknown
2019-01-26JGrizzCharliesStarsStripesUplandCa,JGrizz/Various,J.Grizz Band Live Charlie's Stars & Stripes Upland Ca 1/26/19,2019-01-26T00:00:00Z,538,Unknown
2019-02-22JGrizzBlackwatchUplandCa,JGrizz/Various,J.Grizz Band Live at the Blackwatch Pub Upland Ca 2/22/19,2019-02-22T00:00:00Z,435,Unknown
2019-03-23JGrizzEdnaVeesCovinaCa,JGrizz/Various,J.Grizz Band Live at Edna Vee's Public house Covina Ca 3/23/19,2019-03-23T00:00:00Z,583,Unknown
2019-04-20JGrizzEdnaVeesCovinaCa,JGrizz/Various,J.Grizz Band Live At Edna Vee's Public House Covina Ca 4/20/19,2019-04-20T00:00:00Z,425,Unknown
2019-06-29JGrizz210TavernRanchoCucamongaCa,JGrizz/Various,J.Grizz Band live at 210 Tavern Rancho Cucamonga Ca 6/29/19,2019-06-29T00:00:00Z,474,Unknown
2019-07-07JGrizzEdnaVeesCovinaCa,JGrizz/Various,J.Grizz Band live at Edna Vee's Covina Ca 7/7/19,2019-07-07T00:00:00Z,525,Unknown
2019-09-21-JGrizzEdnaVeesCovinaCa,JGrizz/Various,J.Grizz Band Live at Edna Vee's Public House 9/21/19,2019-09-21T00:00:00Z,380,Unknown
2019-10-04JGrizzCityHallClaremontCa,JGrizz/Various,J.Grizz Band Live in front of City Hall Claremont Ca 10/4/19,2019-10-04T00:00:00Z,459,Unknown
2019-11-09JGrizzEdnaVeesCovinaCa,JGrizz/Various,JGrizz Band Live at Edna Vee's Public House Covina Ca 11-9-2019,2019-11-09T00:00:00Z,472,Unknown
2019-11-22JGrizzPapachinosChinoCa,JGrizz/Various,"J.Grizz Band Live at Papachino's Grill & Greens Chino, Ca 11/22/19",2019-11-22T00:00:00Z,571,Unknown
2019-12-07JGrizzTreehouseBarBreaCa,JGrizz/Various,J.Grizz Band Live at Treehouse Bar & Grill 12/7/19,2019-12-07T00:00:00Z,443,Unknown
2019-12-28JGrizzEtiwandaRoadhouseRanchoCucamongaCa,JGrizz/Various,J.Grizz Band Live at Etiwanda Roadhouse 12/28/19,2019-12-28T00:00:00Z,447,Unknown
2020-01-18JGrizzTreehouseBarBreaCa,JGrizz/Various,J.Grizz Band Live at Treehouse Bar & Grill Brea 1/18/20,2020-01-18T00:00:00Z,451,Unknown
2020-01-25JGrizzBandRoadhouseTavernDuarteCa,JGrizz/Various,J.Grizz Band Live at Route 66 Roadhouse Duarte 1/25/20,2020-01-25T00:00:00Z,451,Unknown
2020-02-08JGrizzEdnaVeesCovinaCa,JGrizz/Various,J.Grizz Band Live at Edna Vee's Covina Ca 2/8/20,2020-02-08T00:00:00Z,383,Unknown
2020-02-29JGrizz210TavernRanchoCucamongaCa,JGrizz/Various,J.Grizz Band Live at 210 Tavern Rancho Cucamonga Ca 2/29/20,2020-02-29T00:00:00Z,443,Unknown
2020-03-01JGrizzEdnaVeesCovinaCa,JGrizz/Various,J.Grizz Band Live at Edna Vee's Public House 3/1/20,2020-03-01T00:00:00Z,566,Unknown
2020-03-06JGrizzChasesLaVerneCa,JGrizz/Various,J.Grizz Acoustic Live at Chase's La Verne 3/6/20,2020-03-06T00:00:00Z,416,Unknown
20221029_20221029_0651,Phil Lesh and Friends,Phil Lesh and Friends Live at Capitol Theatre on 2022-10-28,2022-10-28T00:00:00Z,2050,Capitol Theatre
21.-dont-sweat-it,Ween,Ween Live at alyeska daylodge on 2001-08-18,2001-08-18T00:00:00Z,371,alyeska daylodge
220310-0048,Armchair Boogie,Armchair Boogie Live at Beachland Tavern on 2022-03-11,2022-03-11T00:00:00Z,353,Beachland Tavern
2Beat,2 Beat,2 Beat,Unknown,20289,Unknown
2SJ-1999-01-02.shnf,2 Skinnee Js,2 Skinnee Js Live at The Vault on 1999-01-02,1999-01-02T00:00:00Z,6519,The Vault
2SJ-1999-09-17.flac16,2 Skinnee Js,2 Skinnee Js Live at The Knoll @ MTSU on 1999-09-17,1999-09-17T00:00:00Z,5543,The Knoll @ MTSU
2SJ-1999-09-18.flac16,2 Skinnee Js,2 Skinnee Js Live at Lakewood Amphitheatre on 1999-09-18,1999-09-18T00:00:00Z,6163,Lakewood Amphitheatre
2SkinneeJs,2 Skinnee Js,2 Skinnee Js,Unknown,181182,Unknown
2beat2014-04-01.flac16,2 Beat,2 Beat Live at Outpost 186 on 2014-04-01,2014-04-01T00:00:00Z,810,Outpost 186
2beat2014-04-18.flac16,2 Beat,2 Beat Live at Wadsworth Ballroom on 2014-04-18,2014-04-18T00:00:00Z,1096,Wadsworth Ballroom
2beat2014-07-19.flac16,2 Beat,2 Beat Live at Common Ground on 2014-07-16,2014-07-16T00:00:00Z,917,Common Ground
2beat2014-12-20.flac16,2 Beat,2 Beat Live at Beatnik's on 2014-12-20,2014-12-20T00:00:00Z,557,Beatnik's
2beat2014-12-23.flac16,2 Beat,2 Beat Live at Growler's Pub on 2014-12-23,2014-12-23T00:00:00Z,598,Growler's Pub
2beat2014-12-26.flac16,2 Beat,2 Beat Live at Shamrock Pub on 2014-12-26,2014-12-26T00:00:00Z,1009,Shamrock Pub
2beat2015-06-25.flac16,2 Beat,2 Beat Live at Gulu Gulu Cafe on 2015-06-25,2015-06-25T00:00:00Z,1071,Gulu Gulu Cafe
2beat2015-07-11.flac16,2 Beat,2 Beat Live at The Spot Underground on 2015-07-11,2015-07-11T00:00:00Z,588,The Spot Underground
2beat2015-10-15.flac16,2 Beat,2 Beat Live at Gulu Gulu Cafe on 2015-10-15,2015-10-15T00:00:00Z,822,Gulu Gulu Cafe
2beat2016-07-21.flac16,2 Beat,"2 Beat Live at Newburyport Brewing CO. Newburyport, MA on 2016-07-21",2016-07-21T00:00:00Z,912,"Newburyport Brewing CO. Newburyport, MA"
2beat2016-07-23.flac16,2 Beat,"2 Beat Live at Gulu Gulu Cafe, Salem, MA on 2016-07-23",2016-07-23T00:00:00Z,1364,"Gulu Gulu Cafe, Salem, MA"
2beat2016-07-28.flac16,2 Beat,"2 Beat Live at Aeronaut Brewing Co, Somerville, MA on 2016-07-28",2016-07-28T00:00:00Z,752,"Aeronaut Brewing Co, Somerville, MA"
2beat2016-08-04.flac16,2 Beat,"2 Beat Live at Penuche's, Manchester, NH on 2016-08-04",2016-08-04T00:00:00Z,1184,"Penuche's, Manchester, NH"
2beat2016-10-06.flac16,2 Beat,"2 Beat Live at Gulu Gulu Cafe, Salem, MA on 2016-10-06",2016-10-06T00:00:00Z,1303,"Gulu Gulu Cafe, Salem, MA"
2beat2016-10-13.flac16,2 Beat,"2 Beat Live at Aeronaut Brewing Co, Somerville, MA on 2016-10-13",2016-10-13T00:00:00Z,585,"Aeronaut Brewing Co, Somerville, MA"
2beat2017-02-02.flac16,2 Beat,"2 Beat Live at Gulu Gulu Cafe, Salem, MA on 2017-02-02",2017-02-02T00:00:00Z,863,"Gulu Gulu Cafe, Salem, MA"
2beat2017-03-30.flac16,2 Beat,"2 Beat Live at Gulu Gulu Cafe, Salem, MA on 2017-03-30",2017-03-30T00:00:00Z,1027,"Gulu Gulu Cafe, Salem, MA"
2beat2017-04-14.flac16,2 Beat,"2 Beat Live at Newburyport Brewing Co. - Newburyport, MA on 2017-04-14",2017-04-14T00:00:00Z,955,"Newburyport Brewing Co. - Newburyport, MA"
2beat2017-04-20.flac16,2 Beat,"2 Beat Live at Aeronaut Brewing Co. - Somerville, MA on 2017-04-20",2017-04-20T00:00:00Z,985,"Aeronaut Brewing Co. - Somerville, MA"
2beat2017-08-03.flac16,2 Beat,"2 Beat Live at Aeronaut Brewing Co. - Somerville, MA on 2017-08-03",2017-08-03T00:00:00Z,810,"Aeronaut Brewing Co. - Somerville, MA"
2beat2017-10-26.flac16,2 Beat,"2 Beat Live at Aeronaut Brewing Co. - Somerville, MA on 2017-10-26",2017-10-26T00:00:00Z,995,"Aeronaut Brewing Co. - Somerville, MA"
2beat2018-11-02.flac16,2 Beat,"2 Beat Live at Aeronaut Brewing Co. - Somerville, MA on 2018-11-01",2018-11-01T00:00:00Z,794,"Aeronaut Brewing Co. - Somerville, MA"
2sj-1993-10-16.flac16,2 Skinnee Js,2 Skinnee Js Live at New Music Cafe on 1993-10-16,1993-10-16T00:00:00Z,7453,New Music Cafe
2sj-1996-7-25.shnf,2 Skinnee Js,2 Skinnee Js Live at 8X10 club on 1996-07-25,1996-07-25T00:00:00Z,4929,8X10 club
2sj-1999-01-01,2 Skinnee Js,2 Skinnee Js Live at The Vault on 1999-01-01,1999-01-01T00:00:00Z,1182,The Vault
2sj-1999-04-01.flac16,2 Skinnee Js,2 Skinnee Js Live at The 40 Watt Club on 1999-04-01,1999-04-01T00:00:00Z,7014,The 40 Watt Club
2sj-2000-07-26,2 Skinnee Js,2 Skinnee Js Live at The Ketch on 2000-07-26,2000-07-26T00:00:00Z,7540,The Ketch
2sj-2001-11-23,2 Skinnee Js,2 Skinnee Js Live at The Middle East NightClub on 2001-11-23,2001-11-23T00:00:00Z,8472,The Middle East NightClub
2sj-2002-01-11,2 Skinnee Js,2 Skinnee Js Live at Toad's Place on 2002-01-11,2002-01-11T00:00:00Z,8897,Toad's Place
2sj-2002-02-23.shnf,2 Skinnee Js,2 Skinnee Js Live at WVU Coliseum on 2002-02-23,2002-02-23T00:00:00Z,4700,WVU Coliseum
2sj-2002-04-13.shnf,2 Skinnee Js,"2 Skinnee Js Live at Lilian Welsh Gymnasium, Goucher College on 2002-04-13",2002-04-13T00:00:00Z,4411,"Lilian Welsh Gymnasium, Goucher College"
2sj-2002-05-03.shnf,2 Skinnee Js,"2 Skinnee Js Live at Byrd Stadium, University of Maryland on 2002-05-03",2002-05-03T00:00:00Z,3977,"Byrd Stadium, University of Maryland"
2sj-2002-11-02,2 Skinnee Js,2 Skinnee Js Live at Queen Stumpy II (boat cruise aboard 'Half Moon') on 2002-11-02,2002-11-02T00:00:00Z,9308,Queen Stumpy II (boat cruise aboard 'Half Moon')
2sj-2002-11-22.shnf,2 Skinnee Js,2 Skinnee Js Live at Recher Theatre on 2002-11-22,2002-11-22T00:00:00Z,6372,Recher Theatre
2sj-2003-01-09.shnf,2 Skinnee Js,2 Skinnee Js Live at 9:30 Club on 2003-01-09,2003-01-09T00:00:00Z,7478,9:30 Club
2sj-2003-03-08,2 Skinnee Js,2 Skinnee Js Live at Webster Theater on 2003-03-08,2003-03-08T00:00:00Z,12518,Webster Theater
2sj-2003-03-14.shnf,2 Skinnee Js,2 Skinnee Js Live at Recher Theatre on 2003-03-14,2003-03-14T00:00:00Z,8425,Recher Theatre
2sj-2003-05-30.shnf,2 Skinnee Js,2 Skinnee Js Live at 9:30 Club on 2003-05-30,2003-05-30T00:00:00Z,7102,9:30 Club
2sj-2003-07-11.shnf,2 Skinnee Js,2 Skinnee Js Live at Recher Theatre on 2003-07-11,2003-07-11T00:00:00Z,9448,Recher Theatre
2sj-2003-07-18.shnf,2 Skinnee Js,2 Skinnee Js Live at B.B. King's on 2003-07-18,2003-07-18T00:00:00Z,9068,B.B. King's
2sj-2005-07-22.flac16,2 Skinnee Js,2 Skinnee Js Live at Sonar on 2005-07-22,2005-07-22T00:00:00Z,34534,Sonar
3-WayStreet,3-Way Street,3-Way Street,Unknown,61231,Unknown
311,311,311,Unknown,2239629,Unknown
311-1991-04-22,311,"311 Live at Omaha, NE @ Omaha Earthday Festival on 1991-04-22",1991-04-22T00:00:00Z,5090,"Omaha, NE @ Omaha Earthday Festival"
311-1992-02-01,311,311 Live at Peony Park Ballroom on 1992-02-01,1992-02-01T00:00:00Z,537,Peony Park Ballroom
311-1993-04-05,311,311 Live at Cabaret Metro on 1993-04-05,1993-04-05T00:00:00Z,1138,Cabaret Metro
311-1993-04-23,311,"311 Live at Omaha, NE on 1993-04-23",1993-04-23T00:00:00Z,6120,"Omaha, NE"
311-1993-09-19.TroutTunes,311,"311 Live at Lincoln, NE @ Floodfest, Sandstock, & Edgefest on 1993-09-19",1993-09-19T00:00:00Z,3168,"Lincoln, NE @ Floodfest, Sandstock, & Edgefest"
311-1993-09-19.sbd.flac16,311,311 Live at Floodfest '93 @ Pioneer's Park's Pinewood Bowl on 1993-09-19,1993-09-19T00:00:00Z,9095,Floodfest '93 @ Pioneer's Park's Pinewood Bowl
311-1994-08-25,311,"311 Live at Richmond, VA @ The Floodzone on 1994-08-25",1994-08-25T00:00:00Z,3458,"Richmond, VA @ The Floodzone"
311-1994-08-25.sbd.flac16,311,311 Live at The Floodzone on 1994-08-25,1994-08-25T00:00:00Z,4377,The Floodzone
311-1994-08-28,311,311 Live at The Bayou on 1994-08-28,1994-08-28T00:00:00Z,1482,The Bayou
311-1994-10-00.sbd.flac16,311,311 Live at Fox Theatre on 1994-11-06,1994-11-06T00:00:00Z,19818,Fox Theatre
311-1994-10-09,311,311 Live at Tuxedo Junction on 1994-10-09,1994-10-09T00:00:00Z,6091,Tuxedo Junction
311-1994-10-14,311,"311 Live at Danbury, CT @ Tuxedo Junction on 1994-10-14",1994-10-14T00:00:00Z,3377,"Danbury, CT @ Tuxedo Junction"
311-1994-10-26,311,"311 Live at Boise, ID @ Crater Club on 1994-10-26",1994-10-26T00:00:00Z,3626,"Boise, ID @ Crater Club"
311-1994-11-06.sbd.flac16,311,311 Live at Fox Theatre on 1994-11-06,1994-11-06T00:00:00Z,5047,Fox Theatre
311-1995-05-26,311,311 Live at The Empire Ballroom on 1995-05-26,1995-05-26T00:00:00Z,1318,The Empire Ballroom
311-1996-02-08,311,311 Live at Michael's on 1996-02-08,1996-02-08T00:00:00Z,1323,Michael's
311-1996-05-22,311,311 Live at Centroplex on 1996-05-22,1996-05-22T00:00:00Z,1596,Centroplex
311-1996-05-26.lossless,311,"311 Live at Winston-Salem, NC @ Millenium Center on 1996-05-26",1996-05-26T00:00:00Z,3988,"Winston-Salem, NC @ Millenium Center"
311-1996-05-26.sbd.flac16,311,311 Live at Millenium Center on 1996-05-26,1996-05-26T00:00:00Z,35693,Millenium Center
311-1996-05-27,311,311 Live at Strawberry Banks on 1996-05-27,1996-05-27T00:00:00Z,1775,Strawberry Banks
311-1996-06-07,311,311 Live at Mancuso Auditorium on 1996-06-07,1996-06-07T00:00:00Z,1813,Mancuso Auditorium
311-1996-06-08,311,311 Live at Sandstone Amphitheatre on 1996-06-08,1996-06-08T00:00:00Z,1589,Sandstone Amphitheatre
311-1996-06-15,311,311 Live at Red Rocks Amphitheatre on 1996-06-15,1996-06-15T00:00:00Z,2119,Red Rocks Amphitheatre
311-1996-08-13,311,311 Live at Choose or Lose Benefit on 1996-08-13,1996-08-13T00:00:00Z,269365,Choose or Lose Benefit
311-1996-08-21,311,311 Live at Metropol on 1996-08-21,1996-08-21T00:00:00Z,1818,Metropol
311-1996-08-21.shnf,311,311 Live at The Metropol on 1996-08-21,1996-08-21T00:00:00Z,12528,The Metropol
311-1996-08-22,311,311 Live at New York Nights on 1996-08-22,1996-08-22T00:00:00Z,1470,New York Nights
311-1996-08-25,311,311 Live at Pavilion at Stone Ridge on 1996-08-25,1996-08-25T00:00:00Z,1467,Pavilion at Stone Ridge
311-1996-09-11,311,311 Live at Electric Factory on 1996-09-11,1996-09-11T00:00:00Z,1668,Electric Factory
311-1996-09-25,311,311 Live at Fox Theatre on 1996-09-25,1996-09-25T00:00:00Z,1682,Fox Theatre
311-1996-09-29,311,311 Live at Bren Center (UC Irvine) on 1996-09-29,1996-09-29T00:00:00Z,1199,Bren Center (UC Irvine)
311-1996-12-11,311,311 Live at Warfield Theatre on 1996-12-11,1996-12-11T00:00:00Z,1223,Warfield Theatre
311-1996-12-14,311,311 Live at Universal Amphitheatrte on 1996-12-14,1996-12-14T00:00:00Z,321,Universal Amphitheatrte
311-1997-07-04.SpacedOut,311,"311 Live at ""Spaced Out"" on 1997-07-04",1997-07-04T00:00:00Z,4654,"""Spaced Out"""
311-1997-08-03,311,311 Live at Kualoa Ranch on 1997-08-03,1997-08-03T00:00:00Z,1109,Kualoa Ranch
311-1997-08-27,311,311 Live at Star Lake Amphitheatre on 1997-08-27,1997-08-27T00:00:00Z,1376,Star Lake Amphitheatre
311-1997-09-13,311,311 Live at Lakewood Amphitheatre on 1997-09-13,1997-09-13T00:00:00Z,1175,Lakewood Amphitheatre
311-1997-10-31,311,311 Live at Greek Theatre on 1997-10-31,1997-10-31T00:00:00Z,908,Greek Theatre
311-1997-11-28.sbd.flac16,311,311 Live at The Armory on 1997-11-28,1997-11-28T00:00:00Z,48686,The Armory
311-1997-12-06,311,311 Live at Universal Amphitheatre on 1997-12-06,1997-12-06T00:00:00Z,281,Universal Amphitheatre
311-1997-12-06.fm.sbd.flac16,311,311 Live at Universal Ampitheater on 1997-12-06,1997-12-06T00:00:00Z,22783,Universal Ampitheater
311-1998-01-31,311,311 Live at Waimanalo Polo Field on 1998-01-31,1998-01-31T00:00:00Z,1070,Waimanalo Polo Field
311-1999-09-20.sbd.flacf,311,311 Live at 328 Performance Hall on 1999-09-20,1999-09-20T00:00:00Z,639,328 Performance Hall
311-1999-09-22.sbd,311,311 Live at Trax on 1999-09-22,1999-09-22T00:00:00Z,1563,Trax
311-1999-09-24.shnf,311,311 Live at Meadows Music Theatre on 1999-09-24,1999-09-24T00:00:00Z,3940,Meadows Music Theatre
311-1999-09-25,311,311 Live at RFK Stadium on 1999-09-25,1999-09-25T00:00:00Z,417,RFK Stadium
311-1999-09-26.shnf,311,311 Live at BankBoston Pavilion on 1999-09-26,1999-09-26T00:00:00Z,4021,BankBoston Pavilion
311-1999-10-05,311,311 Live at Great American Music Hall on 1999-10-05,1999-10-05T00:00:00Z,690,Great American Music Hall
311-1999-10-05.CSB-SBD,311,311 Live at Great American Music Hall on 1999-10-05,1999-10-05T00:00:00Z,770,Great American Music Hall
311-1999-10-05.sbd.flacf,311,311 Live at Great American Music Hall on 1999-10-05,1999-10-05T00:00:00Z,1006,Great American Music Hall
311-1999-10-16,311,311 Live at Ogden Theatre on 1999-10-16,1999-10-16T00:00:00Z,985,Ogden Theatre
