identifier,creator,title,date,downloads,venue
1994-05-11.bso.fm.vernon.19784.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Zellerbach Hall on 1994-05-11,1994-05-11T00:00:00Z,3771,Zellerbach Hall
1994-09-24.paf.naks.unknown.14051.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Berkeley Community Theatre on 1994-09-24,1994-09-24T00:00:00Z,7694,Berkeley Community Theatre
1994-09-24.paf.sbd.zelner-vernon.14071.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Berkeley Community Theatre on 1994-09-24,1994-09-24T00:00:00Z,57733,Berkeley Community Theatre
1994-09-24.paf.schoeps.volkerding.2379.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Berkeley Community Theatre on 1994-09-24,1994-09-24T00:00:00Z,3844,Berkeley Community Theatre
19940625GC4DF,GrooveChild,GrooveChild Live at Gill Jam on 1994-06-24,1994-06-24T00:00:00Z,332,Gill Jam
19940805GCSC,GrooveChild,GrooveChild Live at The Stone Church on 1994-08-05,1994-08-05T00:00:00Z,152,The Stone Church
19940909gcsc16bit,GrooveChild,GrooveChild Live at The Stone Church on 1994-09-09,1994-09-09T00:00:00Z,542,The Stone Church
19940909gcsc24bit,GrooveChild,GrooveChild Live at The Stone Church on 1994-09-09,1994-09-09T00:00:00Z,306,The Stone Church
19950127GCGH,GrooveChild,GrooveChild Live at Gaythorne Hall on 1995-01-27,1995-01-27T00:00:00Z,377,Gaythorne Hall
19950325GCSC,GrooveChild,GrooveChild Live at The Stone Church on 1995-03-25,1995-03-25T00:00:00Z,176,The Stone Church
19950426gcsc,GrooveChild,GrooveChild Live at The Stone Church on 1995-04-26,1995-04-26T00:00:00Z,312,The Stone Church
19950519gcsll,GrooveChild,GrooveChild Live at Portsmouth Music Hall on 1995-05-19,1995-05-19T00:00:00Z,885,Portsmouth Music Hall
1996-06-16.sfo.aud-fm.vernon.19785.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Davies Symphony Hall on 1996-06-16,1996-06-16T00:00:00Z,9643,Davies Symphony Hall
19960518gcsc,GrooveChild,GrooveChild Live at The Stone Church on 1996-05-18,1996-05-18T00:00:00Z,430,The Stone Church
19971024GCSC,GrooveChild,GrooveChild Live at The Stone Church on 1997-10-24,1997-10-24T00:00:00Z,360,The Stone Church
